Element,Axis_0,Axis_1,NUM_MEAN,NUM_MIN,NUM_RANGE
3450000:950000,3450000,950000,891.446663163426,636,754
3550000:1050000,3550000,1050000,1035.00418474892,731,1233
3550000:1150000,3550000,1150000,945.444827236802,623,791
3550000:1250000,3550000,1250000,681.1956,560,520
3550000:1450000,3550000,1450000,673.7934,563,668
3550000:1550000,3550000,1550000,652.0044,530,494
3550000:1950000,3550000,1950000,638.7822,585,111
3550000:2050000,3550000,2050000,702.8714,621,173
3550000:2150000,3550000,2150000,691.4374,605,237
3550000:2250000,3550000,2250000,648.6491,582,303
3550000:950000,3550000,950000,1336.23845108696,1037,968
3650000:1150000,3650000,1150000,1084.59012875536,735,754
3650000:1250000,3650000,1250000,1105.70090180361,667,1009
3650000:1350000,3650000,1350000,926.1888,673,820
3650000:1450000,3650000,1450000,787.0562,665,376
3650000:1550000,3650000,1550000,759.4725,633,403
3650000:1650000,3650000,1650000,638.4128,566,303
3650000:1750000,3650000,1750000,628.3115,565,115
3650000:1850000,3650000,1850000,644.8689,606,143
3650000:1950000,3650000,1950000,686.9691,636,135
3650000:2050000,3650000,2050000,682.8884,612,474
3650000:2350000,3650000,2350000,994.278147268409,782,710
3750000:1250000,3750000,1250000,1294.8046875,1050,896
3750000:1350000,3750000,1350000,1350.35778091208,874,1153
3750000:1450000,3750000,1450000,1227.79678714859,737,1594
3750000:1550000,3750000,1550000,1032.2248,693,792
3750000:1650000,3750000,1650000,880.0448,641,952
3750000:1750000,3750000,1750000,775.5409,622,658
3750000:1850000,3750000,1850000,792.4572,617,470
3750000:1950000,3750000,1950000,774.2368,697,393
3750000:2050000,3750000,2050000,933.379793731851,658,756
3750000:2150000,3750000,2150000,1005.10770767438,836,614
3850000:1350000,3850000,1350000,,,
3850000:1450000,3850000,1450000,1396.84166666667,1014,842
3850000:1550000,3850000,1550000,1260.3562414734,1012,807
3850000:1650000,3850000,1650000,1371.33847603345,816,2161
3850000:1750000,3850000,1750000,1112.5979518553,798,904
3850000:1850000,3850000,1850000,1348.12505069623,884,1108
3850000:1950000,3850000,1950000,1162.03694220922,881,734
3950000:1750000,3950000,1750000,1587.8,1527,96
