num,'genus species',x,y
318,'Genus sp13',3655397.491,1717544.872
319,'Genus sp13',3654948.344,1711678.991
320,'Genus sp13',3657023.658,1714816.593
321,'Genus sp10',3647235.073,1714762.645
324,'Genus sp11',3813338.446,1672475.894
325,'Genus sp13',3724548.955,1612654.37
326,'Genus sp11',3814899.554,1674418.275
333,'Genus sp13',3727532.724,1622034.848
334,'Genus sp13',3721281.22,1647663.998
335,'Genus sp13',3735759.618,1612767.999
336,'Genus sp14',3865382.508,1667468.76
337,'Genus sp1',3863585.409,1621157.32
338,'Genus sp1',3888242.183,1662794.84
339,'Genus sp1',3893312.94,1672969.403
348,'Genus sp11',3811770.63,1674540.728
350,'Genus sp13',3724587.192,1612123.407
351,'Genus sp13',3725360.17,1615503.683
352,'Genus sp10',3625725.626,1641126.827
353,'Genus sp14',3859754.208,1668134.275
354,'Genus sp1',3877941.136,1629483.825
355,'Genus sp11',3813596.591,1663343.33
356,'Genus sp1',3807070.497,1669888.692
357,'Genus sp10',3613941.846,1639031.229
358,'Genus sp14',3810856.143,1664836.54
360,'Genus sp11',3791424.367,1647994.504
361,'Genus sp15',3811478.569,1665183.637
362,'Genus sp7',3656408.058,1702297.586
364,'Genus sp15',3810093.053,1663300.674
383,'Genus sp13',3728988.388,1619398.803
388,'Genus sp8',3892407.103,1665829.512
395,'Genus sp13',3690555.67,1617716.422
398,'Genus sp13',3729921.196,1618498.087
399,'Genus sp13',3733869.916,1636092.023
400,'Genus sp13',3693117.393,1616599.332
401,'Genus sp13',3731308.89,1637307.489
402,'Genus sp13',3720321.817,1608067.676
403,'Genus sp13',3732293.698,1613655.126
404,'Genus sp13',3727241.574,1609462.964
405,'Genus sp13',3724328.674,1639007.558
406,'Genus sp13',3733514.018,1640236.495
407,'Genus sp13',3736442.418,1657047
408,'Genus sp13',3723874.086,1620011.831
409,'Genus sp13',3725478.052,1623478.375
410,'Genus sp13',3734896.449,1616547.925
411,'Genus sp9',3746974.175,1608672.509
414,'Genus sp3',3867746.455,1563722.286
416,'Genus sp9',3839486.604,1519720.333
418,'Genus sp5',3852991.327,1527277.122
419,'Genus sp10',3599695.632,1552622.004
425,'Genus sp14',3759198.893,1545278.775
426,'Genus sp10',3627895.887,1585180.697
427,'Genus sp10',3623568.334,1591802.459
428,'Genus sp10',3734081.936,1596070.331
429,'Genus sp5',3739183.844,1584446.202
430,'Genus sp5',3738160.255,1578108.899
431,'Genus sp16',3758822.693,1536474.958
432,'Genus sp10',3622212.627,1591391.119
437,'Genus sp10',3578800.345,1566603.528
438,'Genus sp10',3593214.442,1564631.533
439,'Genus sp11',3752912.814,1537234.18
440,'Genus sp16',3762053.613,1538405.375
441,'Genus sp16',3747272.19,1533907.707
442,'Genus sp16',3755515.987,1543378.652
453,'Genus sp16',3746970.512,1538938.745
460,'Genus sp5',3809967.713,1476584.057
462,'Genus sp15',3668993.11,1568860.696
463,'Genus sp11',3743087.086,1579127.563
473,'Genus sp12',3685947.451,1567692.795
476,'Genus sp16',3751301.005,1533608.447
477,'Genus sp16',3762552.877,1535973.713
478,'Genus sp15',3630066.147,1506654.86
480,'Genus sp16',3745474.494,1541674.003
482,'Genus sp10',3585172.407,1564592.321
483,'Genus sp10',3583580.172,1561402.287
485,'Genus sp10',3591066.23,1567481.91
486,'Genus sp10',3585105.765,1574641.005
506,'Genus sp10',3589863.752,1563191.544
507,'Genus sp9',3644212.224,1512567.981
508,'Genus sp9',3630154.794,1530063.334
509,'Genus sp9',3857888.175,1530191.361
510,'Genus sp9',3852997.265,1570763.857
511,'Genus sp9',3828191.41,1567401.584
513,'Genus sp9',3844059.641,1515325.737
548,'Genus sp16',3758742.998,1539528.464
549,'Genus sp16',3767400.844,1540259.594
551,'Genus sp16',3753756.503,1540052.398
552,'Genus sp16',3750363.103,1540473.907
554,'Genus sp16',3757953.119,1535372.891
555,'Genus sp15',3682457.421,1555605.734
556,'Genus sp15',3645111.652,1521855.064
557,'Genus sp15',3630765.792,1514640.587
558,'Genus sp15',3622653.929,1513005.256
559,'Genus sp15',3686958.656,1559155.201
560,'Genus sp15',3643110.855,1575745.955
561,'Genus sp15',3662733.984,1546853.985
588,'Genus sp11',3860105.347,1571664.657
589,'Genus sp14',3757791.927,1580902.88
594,'Genus sp16',3761184.25,1542055.061
596,'Genus sp16',3758999.049,1539490.967
597,'Genus sp16',3761976.05,1529278.08
598,'Genus sp10',3607895.422,1593794.425
599,'Genus sp10',3582141.749,1563724.026
600,'Genus sp10',3589099.243,1565543.414
601,'Genus sp10',3584787.252,1564191.235
603,'Genus sp5',3849732.682,1527749.808
606,'Genus sp16',3756464.464,1544450.815
607,'Genus sp16',3734182.75,1547071.205
609,'Genus sp5',3824207.939,1538605.095
610,'Genus sp16',3754608.217,1539522.694
611,'Genus sp9',3852215.337,1558263.168
612,'Genus sp9',3805577.079,1484451.983
613,'Genus sp9',3855198.482,1527949.112
614,'Genus sp9',3804841.869,1496998.141
615,'Genus sp9',3853225.33,1526351.232
616,'Genus sp10',3434493.786,1523683.457
617,'Genus sp3',3828445.494,1470676.888
618,'Genus sp1',3830182.052,1477683.693
622,'Genus sp12',3606745.137,1426111.49
623,'Genus sp15',3654195.993,1465360.577
624,'Genus sp15',3662713.783,1470375.227
632,'Genus sp10',3527746.371,1441794.476
634,'Genus sp10',3726031.712,1463931.725
635,'Genus sp10',3743519.441,1448885.903
636,'Genus sp10',3682587.656,1464045.942
637,'Genus sp10',3695519.484,1453610.944
639,'Genus sp1',3831204.61,1472958.036
646,'Genus sp10',3460276.443,1443124.173
659,'Genus sp10',3686313.09,1456603.945
660,'Genus sp10',3631042.665,1415412.614
661,'Genus sp10',3690064.635,1486201.661
683,'Genus sp9',3805940.444,1381723.894
696,'Genus sp10',3460726.758,1433684.275
697,'Genus sp10',3468228.68,1433628.709
698,'Genus sp10',3500471.216,1490022.981
699,'Genus sp10',3456020.293,1453829.647
700,'Genus sp10',3439087.304,1429428.637
701,'Genus sp10',3533450.83,1411047.195
702,'Genus sp10',3469103.381,1443559.889
703,'Genus sp10',3498318.942,1487496.932
704,'Genus sp10',3458015.467,1434171.404
706,'Genus sp10',3470344.901,1445265.951
707,'Genus sp10',3504458.073,1488719.808
735,'Genus sp16',3676868.682,1387141.874
736,'Genus sp15',3660127.685,1502820.275
737,'Genus sp15',3633797.197,1428364.441
738,'Genus sp15',3655073.256,1403520.464
739,'Genus sp15',3706422.467,1495235.061
768,'Genus sp10',3500975.303,1489803.144
771,'Genus sp10',3630924.997,1411767.304
780,'Genus sp10',3463908.925,1432072.015
781,'Genus sp10',3464026.509,1433110.153
782,'Genus sp10',3469837.492,1468449.836
783,'Genus sp10',3462546.791,1436992.25
784,'Genus sp10',3407453.953,1455282.703
787,'Genus sp9',3673093.941,1495037.573
789,'Genus sp1',3545200.71,1490006.512
791,'Genus sp10',3442770.611,1392401.258
792,'Genus sp10',3495621.16,1401675.317
801,'Genus sp15',3634918.971,1338386.547
802,'Genus sp1',3776561.637,1325219.616
804,'Genus sp9',3792425.953,1350071.115
805,'Genus sp9',3762544.244,1315403.477
807,'Genus sp1',3775107.08,1367511.175
810,'Genus sp10',3436829.988,1375716.705
814,'Genus sp15',3722190.113,1363309.644
815,'Genus sp10',3688604.897,1371519.464
816,'Genus sp10',3682983.891,1376521.245
821,'Genus sp10',3451791.976,1405609.102
823,'Genus sp10',3429352.59,1317327.569
824,'Genus sp10',3439948.657,1396066.423
859,'Genus sp10',3444386.905,1393746.312
863,'Genus sp10',3439521.172,1398761.488
865,'Genus sp10',3488968.637,1337518.329
866,'Genus sp10',3424858.984,1385794.28
867,'Genus sp10',3396600.954,1398405.888
868,'Genus sp10',3472289.957,1314941.923
869,'Genus sp10',3440962.386,1388475.925
870,'Genus sp10',3437596.263,1389582.863
873,'Genus sp10',3439547.801,1392242.709
874,'Genus sp10',3446878.645,1390148.318
875,'Genus sp10',3468354.125,1406215.521
876,'Genus sp10',3441674.275,1391717.541
877,'Genus sp10',3441949.146,1389342.232
878,'Genus sp10',3394647.314,1394141.299
879,'Genus sp10',3424008.047,1410415.446
880,'Genus sp10',3432943.483,1395014.837
895,'Genus sp9',3772422.947,1368116.46
897,'Genus sp9',3767569.024,1294567.926
898,'Genus sp9',3764056.449,1308129.657
915,'Genus sp14',3719846.119,1356568.07
917,'Genus sp10',3417942.405,1392891.674
922,'Genus sp10',3437903.663,1385516.779
923,'Genus sp10',3397640.894,1393841.937
924,'Genus sp10',3685983.406,1377007.498
925,'Genus sp10',3661062.444,1387879.653
926,'Genus sp10',3615923.09,1337347.703
927,'Genus sp10',3621688.333,1344873.688
929,'Genus sp10',3394270.032,1352084.449
930,'Genus sp17',1957145.443,1424097.107
932,'Genus sp9',3759734.087,1309782.696
956,'Genus sp10',3359987.501,1305783.859
957,'Genus sp9',3657916.786,1206763.628
964,'Genus sp1',3644458.05,1181974.626
965,'Genus sp1',3647986.126,1181083.667
966,'Genus sp1',3643526.714,1178931.628
983,'Genus sp10',3348398.222,1292272.502
984,'Genus sp10',3484196.858,1230156.062
985,'Genus sp9',3681718.617,1221760.563
986,'Genus sp1',3701698.956,1226228.216
987,'Genus sp12',3507008.3,1208036.041
988,'Genus sp12',3498248.862,1202594.224
992,'Genus sp12',3504280.895,1200036.026
994,'Genus sp10',3574784.419,1209404.667
999,'Genus sp5',3699147.568,1232396.983
1002,'Genus sp10',3343246.377,1275104.921
1003,'Genus sp10',3336491.575,1230465.243
1004,'Genus sp10',3505182.377,1203598.005
1005,'Genus sp10',3390799.243,1311534.293
1006,'Genus sp10',3495542.456,1264852.46
1007,'Genus sp10',3394687.955,1306176.45
1038,'Genus sp10',3502959.359,1261612.927
1039,'Genus sp10',3488255.556,1258365.78
1040,'Genus sp10',3504188.03,1264387.58
1041,'Genus sp10',3476394.339,1271846.017
1042,'Genus sp10',3345205.205,1223109.726
1084,'Genus sp9',3671813.642,1202306.95
1085,'Genus sp9',3671452.62,1202098.263
1086,'Genus sp9',3676659.661,1203638.201
1087,'Genus sp9',3670384.424,1202761.762
1088,'Genus sp9',3661629.883,1207183.408
1089,'Genus sp9',3676051.592,1212966.446
1090,'Genus sp9',3661490.443,1201618.091
1091,'Genus sp9',3656419.827,1204662.985
1092,'Genus sp5',3651442.593,1174773.059
1093,'Genus sp5',3647171.375,1208750.072
1094,'Genus sp5',3664733.699,1203229.444
1095,'Genus sp5',3633574.022,1184029.175
1096,'Genus sp5',3635391.491,1180926.94
1162,'Genus sp12',3505684.969,1206836.2
1163,'Genus sp18',2370751.65,1293413.309
1164,'Genus sp10',3332024.772,1228262.949
1166,'Genus sp17',1991688.077,1380621.676
1167,'Genus sp17',1977157.63,1371520.591
1168,'Genus sp17',2061748.118,1374297.364
1169,'Genus sp17',2038750.209,1365367.488
1170,'Genus sp17',1974297.435,1380737.942
1172,'Genus sp17',2071941.475,1308553.907
1173,'Genus sp17',2129831.135,1292156.42
1178,'Genus sp15',3569825.583,1105618.703
1179,'Genus sp17',2068097.203,1274078.427
1180,'Genus sp12',3495900.479,1116388.906
1181,'Genus sp12',3507674.75,1117491.241
1183,'Genus sp12',3523875.986,1105786.175
1184,'Genus sp15',3587790.172,1114566.234
1185,'Genus sp19',3585518.863,1092511.391
1201,'Genus sp20',3477669.122,1156368.413
1208,'Genus sp11',3587451.605,1069142.422
1209,'Genus sp11',3593709.408,1142947.967
1210,'Genus sp11',2442352.235,1191014.211
1211,'Genus sp11',3597290.712,1107500.434
1212,'Genus sp11',3571471.992,1103841.579
1213,'Genus sp11',3575844.166,1094311.339
1214,'Genus sp11',3587849.765,1085273.823
1215,'Genus sp11',3570641.629,1098689.948
1216,'Genus sp11',3589120.005,1090612.566
1217,'Genus sp11',3578036.118,1096975.538
1255,'Genus sp10',3562111.511,1085955.695
1268,'Genus sp5',3617108.263,1156744.21
1269,'Genus sp5',3576860.234,1093512.916
1271,'Genus sp21',2236530.525,1246090.04
1277,'Genus sp19',3581675.171,1075239.867
1281,'Genus sp1',3558515.523,1070652.753
1282,'Genus sp1',3556042.615,1077311.464
1283,'Genus sp1',3587105.525,1078853.229
1284,'Genus sp1',3570378.001,1088735.446
1289,'Genus sp12',3572493.257,1088575.233
1290,'Genus sp12',3507768.783,1113803.481
1291,'Genus sp12',3510701.154,1114465.817
1292,'Genus sp12',3527878.046,1133501.378
1293,'Genus sp12',3509029.09,1119459.561
1294,'Genus sp12',3566020.832,1086318.612
1295,'Genus sp12',3589222.508,1159889.028
1323,'Genus sp11',3571598.522,1111377.642
1363,'Genus sp11',3571570.569,1096850.269
1364,'Genus sp11',3600111.817,1133976.958
1365,'Genus sp11',3461734.509,1130611.003
1366,'Genus sp18',2177929.449,1230583.404
1382,'Genus sp15',3583583.513,1066381.297
1398,'Genus sp12',3505011.194,1120662.682
1399,'Genus sp12',3582576.621,1164768.198
1423,'Genus sp12',3545854.135,1180615.697
1425,'Genus sp19',3564266.076,1139873.137
1429,'Genus sp1',3537097.548,1115224.972
1441,'Genus sp12',3522369.871,1140573.525
1444,'Genus sp12',3499354.927,1125311.431
1453,'Genus sp12',3501886.949,1118211.74
1454,'Genus sp12',3508637.706,1135689.191
1457,'Genus sp10',3551320.61,1104966.948
1458,'Genus sp1',3579731.729,1090317.823
1459,'Genus sp11',3575462.572,1130332.321
1559,'Genus sp12',3565705.763,1140607.365
1560,'Genus sp12',3533997.261,1124740.08
1561,'Genus sp12',3535472.642,1114113.536
1562,'Genus sp12',3497355.712,1121620.66
1563,'Genus sp12',3511141.247,1110482.171
1564,'Genus sp12',3524673.845,1111028.515
1565,'Genus sp12',3527747.763,1101894.793
1566,'Genus sp12',3506085.533,1110869.885
1567,'Genus sp12',3516791.54,1130498.286
1568,'Genus sp12',3547338.369,1178765.311
1569,'Genus sp21',3562153.269,1089187.93
1584,'Genus sp21',2432480.277,1181058.191
1585,'Genus sp21',2456092.803,1224222.862
1648,'Genus sp20',3461141.766,1092491.563
1649,'Genus sp10',3399022.075,1198232.405
1650,'Genus sp10',3310626.648,1195299.587
1879,'Genus sp5',3572845.419,1090477.106
1880,'Genus sp5',3621632.265,1169787.668
1881,'Genus sp5',3632082.224,1162612.287
1882,'Genus sp5',3611607.09,1122326.35
1883,'Genus sp5',3553482.723,1082751.82
1884,'Genus sp5',3615080.343,1160586.574
1885,'Genus sp5',3569954.93,1094618.296
1887,'Genus sp5',3573344.503,1068401.445
1888,'Genus sp5',3573649.023,1074591.65
1889,'Genus sp5',3574805.305,1076201.827
1890,'Genus sp5',3568120.002,1074335.426
1891,'Genus sp5',3643157.188,1169685.035
1893,'Genus sp5',3579108.933,1081461.411
1894,'Genus sp5',3616844.723,1155369.176
1895,'Genus sp5',3619683.815,1159786.183
1896,'Genus sp5',3626635.088,1151115.201
1897,'Genus sp5',3624007.257,1146051.017
1899,'Genus sp5',3621465.05,1170921.901
1900,'Genus sp5',3617808.053,1155574.09
1952,'Genus sp19',3601711.097,1132361.882
1953,'Genus sp19',3571029.97,1130367.858
1954,'Genus sp19',3592508.646,1154987.188
1955,'Genus sp19',3587839.132,1128744.78
1956,'Genus sp19',3603403.568,1124232.849
1957,'Genus sp19',3599024.676,1134998.479
1958,'Genus sp19',3600002.646,1134402.342
1959,'Genus sp19',3607326.463,1133433.576
1960,'Genus sp19',3572362.145,1140402.806
1961,'Genus sp19',3586306.456,1130460.562
1962,'Genus sp19',3581877.736,1090253.206
1963,'Genus sp19',3603147.424,1128142.588
1964,'Genus sp19',3589656.115,1117623.487
1965,'Genus sp19',3598221.267,1121288.416
1966,'Genus sp19',3588573.997,1116248.894
1968,'Genus sp19',3606278.426,1128173.53
2059,'Genus sp11',3588343.508,1083517.083
2060,'Genus sp11',3585239.083,1087883.021
2061,'Genus sp11',3595181.015,1102808.252
2062,'Genus sp11',3578400.507,1102350.765
2063,'Genus sp11',3589402.002,1090882.655
2064,'Genus sp11',3578170.896,1076529.387
2102,'Genus sp5',3587673.51,1079598.558
2126,'Genus sp19',3602791.224,1119069.738
2127,'Genus sp19',3575099.256,1169829.868
2132,'Genus sp11',3576591.004,1129637.438
2136,'Genus sp18',2424958.181,1182866.797
2137,'Genus sp18',2424870.535,1192057.253
2138,'Genus sp18',2159847.502,1228117.146
2139,'Genus sp18',2064873.837,1269168.092
2140,'Genus sp18',2473716.481,1246139.459
2141,'Genus sp18',2173388.068,1182158.677
2142,'Genus sp18',2179787.014,1234916.873
2143,'Genus sp18',2064736.384,1267058.934
2144,'Genus sp18',2165111.618,1201486.655
2146,'Genus sp22',2458534.108,1171178.333
2147,'Genus sp22',2457864.601,1174192.013
2148,'Genus sp22',2460649.598,1169571.874
2149,'Genus sp22',2450403.001,1180382.959
2150,'Genus sp22',2463656.458,1175713.993
2151,'Genus sp22',2467271.944,1172640.885
2152,'Genus sp22',2455112.952,1173734.167
2153,'Genus sp22',2456492.692,1166858.898
2154,'Genus sp22',2463154.621,1173611.939
2155,'Genus sp22',2457317.426,1173947.748
2156,'Genus sp22',2457883.906,1171492.553
2157,'Genus sp22',2460992.06,1172150.889
2158,'Genus sp22',2459486.162,1168467.327
2162,'Genus sp12',3501418.651,1117473.25
2163,'Genus sp10',3576609.61,1082438.267
2164,'Genus sp1',3546867.572,1110652.39
2165,'Genus sp17',2062974.518,1265899.738
2170,'Genus sp17',2063355.424,1268662.903
2171,'Genus sp17',2065805.757,1268053.179
2175,'Genus sp17',2061924.799,1271014.406
2177,'Genus sp17',2202220.844,1249117.036
2178,'Genus sp17',2066955.436,1265308.152
2179,'Genus sp17',2061319.915,1273055.777
2180,'Genus sp22',2460474.949,1176173.24
2181,'Genus sp19',3587807.535,1122243.329
2183,'Genus sp12',3516476.893,1124990.492
2184,'Genus sp10',3346128.821,1184470.842
2186,'Genus sp30',3587448.222,1107948.15
2194,'Genus sp15',3506999.96,1006773.739
2196,'Genus sp11',3499806.349,1008071.735
2209,'Genus sp11',3505882.813,1024262.663
2210,'Genus sp11',2432106.932,1072162.783
2211,'Genus sp11',2432655.049,1054931.646
2231,'Genus sp15',3502803.756,1037872.28
2232,'Genus sp15',3518537.876,1014510.463
2233,'Genus sp10',3446909.14,1005286.217
2234,'Genus sp10',3458323.977,991303.6719
2235,'Genus sp10',3303273.913,1099993.193
2237,'Genus sp10',3442595.09,990526.5316
2238,'Genus sp10',3452679.067,1047179.648
2239,'Genus sp10',3451466.148,1049598.611
2240,'Genus sp10',3433095.215,1013921.326
2241,'Genus sp10',3375133.126,1063175.005
2248,'Genus sp21',2443719.278,1057132.561
2259,'Genus sp12',3457643.538,989677.5003
2260,'Genus sp12',3458173.689,996966.5496
2263,'Genus sp15',3557503.945,1060651.365
2300,'Genus sp11',2433059.678,1075333.978
2326,'Genus sp15',3486515.429,1001632.425
2327,'Genus sp10',3438146.878,997890.2753
2329,'Genus sp21',2170086.751,1121166.259
2330,'Genus sp21',2173773.514,1107174.162
2372,'Genus sp10',3362549.166,1059498.749
2373,'Genus sp10',3375544.632,1049625.692
2377,'Genus sp10',3441973.812,1067272.718
2390,'Genus sp10',3382706.869,1035469.212
2391,'Genus sp15',3574610.223,1051230.397
2423,'Genus sp21',2431554.16,1056389.033
2424,'Genus sp21',2437155.353,1071228.932
2425,'Genus sp21',2445670.723,1070927.515
2426,'Genus sp21',2451935.9,1082807.434
2427,'Genus sp21',2442328.045,1102853.453
2428,'Genus sp21',2429828.419,1063195.894
2429,'Genus sp21',2441002.15,1069875.945
2430,'Genus sp21',2450849.191,1091433.539
2432,'Genus sp21',2448759.224,1059709.01
2433,'Genus sp21',2432773.488,1067000.674
2434,'Genus sp21',2443388.92,1065272.484
2435,'Genus sp21',2437625.525,1079959.124
2436,'Genus sp21',2435361.601,1078232.284
2437,'Genus sp21',2443068.552,1063027.259
2438,'Genus sp21',2433638.509,1069588.153
2439,'Genus sp21',2441148.158,1070282.978
2440,'Genus sp21',2438284.27,1065666.182
2441,'Genus sp21',2456807.336,1082904.866
2442,'Genus sp21',2437382.543,1066556.278
2443,'Genus sp21',2433719.579,1074490.559
2444,'Genus sp21',2451401.703,1080619.894
2449,'Genus sp21',2458708.94,1109343.001
2451,'Genus sp21',2458266.472,1112465.449
2452,'Genus sp21',2396081.511,1133875.839
2453,'Genus sp21',2457204.619,1111597.224
2454,'Genus sp21',2170625.599,1121209.729
2456,'Genus sp21',2174514.964,1139393.856
2458,'Genus sp21',2180671.629,1121034.028
2459,'Genus sp21',2176954.238,1117917.351
2460,'Genus sp21',2151923.779,1114081.964
2461,'Genus sp21',2154463.755,1108639.316
2462,'Genus sp21',2170529.739,1119123.674
2463,'Genus sp21',2157788.345,1119456.015
2464,'Genus sp21',2173891.938,1126230.346
2465,'Genus sp21',2160323.789,1111378.274
2466,'Genus sp21',2169202.513,1121764.71
2467,'Genus sp21',2165656.908,1118177.565
2469,'Genus sp21',2159625.544,1120326.191
2470,'Genus sp21',2176764.988,1125003.617
