x,y,site,Colour,site1,site2,site3,,
14.5,-4.5,site2,purple,0,1,0,,
14.5,-3.5,site2,purple,0,1,0,,
15.5,-6.5,site2,purple,0,1,0,,
15.5,-5.5,site2,purple,0,1,0,,
15.5,-4.5,site2,purple,0,1,0,,
15.5,-3.5,site2,purple,0,1,0,,
16.5,-6.5,site2,purple,0,1,0,,
16.5,-5.5,site2,purple,0,1,0,,
16.5,-4.5,site2,purple,0,1,0,,
16.5,-3.5,site2,purple,0,1,0,,
17.5,-6.5,site2,purple,0,1,0,,
17.5,-5.5,site2,purple,0,1,0,,
17.5,-4.5,site2,purple,0,1,0,,
17.5,-3.5,site2,purple,0,1,0,,
10.5,-1.5,site2,red,0,1,0,,
10.5,-0.5,site2,red,0,1,0,,
11.5,-1.5,site2,red,0,1,0,,
11.5,-0.5,site2,red,0,1,0,,
12.5,-1.5,site2,red,0,1,0,,
12.5,-0.5,site2,red,0,1,0,,
13.5,-1.5,site2,yellow,0,1,0,,
13.5,-0.5,site2,yellow,0,1,0,,
13.5,0.5,site2,yellow,0,1,0,,
14.5,-1.5,site2,yellow,0,1,0,,
14.5,-0.5,site2,yellow,0,1,0,,
14.5,0.5,site2,yellow,0,1,0,,
21.5,-6.5,site3,blue,0,0,1,,
21.5,-5.5,site3,blue,0,0,1,,
21.5,-4.5,site3,blue,0,0,1,,
22.5,-6.5,site3,blue,0,0,1,,
22.5,-5.5,site3,blue,0,0,1,,
22.5,-4.5,site3,blue,0,0,1,,
26.5,-3.5,site3,green,0,0,1,,
26.5,-2.5,site3,green,0,0,1,,
26.5,-1.5,site3,green,0,0,1,,
27.5,-3.5,site3,green,0,0,1,,
27.5,-2.5,site3,green,0,0,1,,
27.5,-1.5,site3,green,0,0,1,,
24.5,-5.5,site3,purple,0,0,1,,
24.5,-4.5,site3,purple,0,0,1,,
25.5,-5.5,site3,purple,0,0,1,,
25.5,-4.5,site3,purple,0,0,1,,
26.5,-5.5,site3,purple,0,0,1,,
26.5,-4.5,site3,purple,0,0,1,,
20.5,-1.5,site3,red,0,0,1,,
20.5,-0.5,site3,red,0,0,1,,
21.5,-2.5,site3,red,0,0,1,,
21.5,-1.5,site3,red,0,0,1,,
21.5,-0.5,site3,red,0,0,1,,
21.5,0.5,site3,red,0,0,1,,
22.5,-3.5,site3,red,0,0,1,,
22.5,-2.5,site3,red,0,0,1,,
22.5,-1.5,site3,red,0,0,1,,
22.5,-0.5,site3,red,0,0,1,,
22.5,0.5,site3,red,0,0,1,,
23.5,-6.5,site3,red,0,0,1,,
23.5,-5.5,site3,red,0,0,1,,
23.5,-4.5,site3,red,0,0,1,,
23.5,-3.5,site3,red,0,0,1,,
23.5,-2.5,site3,red,0,0,1,,
23.5,-1.5,site3,red,0,0,1,,
23.5,-0.5,site3,red,0,0,1,,
24.5,-6.5,site3,red,0,0,1,,
24.5,-5.5,site3,red,0,0,1,,
24.5,-4.5,site3,red,0,0,1,,
23.5,-1.5,site3,yellow,0,0,1,,
23.5,-0.5,site3,yellow,0,0,1,,
23.5,0.5,site3,yellow,0,0,1,,
24.5,-2.5,site3,yellow,0,0,1,,
24.5,-1.5,site3,yellow,0,0,1,,
24.5,-0.5,site3,yellow,0,0,1,,
24.5,0.5,site3,yellow,0,0,1,,
25.5,-2.5,site3,yellow,0,0,1,,
25.5,-1.5,site3,yellow,0,0,1,,
25.5,-0.5,site3,yellow,0,0,1,,
25.5,0.5,site3,yellow,0,0,1,,
26.5,-1.5,site3,yellow,0,0,1,,
26.5,-0.5,site3,yellow,0,0,1,,
