values	x	y
0.1147467	11.5	96.5
0.1246747	12.5	96.5
0.1345903	13.5	96.5
0.1444924	14.5	96.5
0.1543801	15.5	96.5
0.1642523	16.5	96.5
0.1741081	17.5	96.5
0.1839465	18.5	96.5
0.1937665	19.5	96.5
0.2035672	20.5	96.5
0.2133474	21.5	96.5
0.2231064	22.5	96.5
0.232843	23.5	96.5
0.2425563	24.5	96.5
0.2522454	25.5	96.5
0.2619093	26.5	96.5
0.2715469	27.5	96.5
0.2811575	28.5	96.5
0.2907399	29.5	96.5
0.3002932	30.5	96.5
0.3098165	31.5	96.5
0.3193088	32.5	96.5
0.3287692	33.5	96.5
0.3381967	34.5	96.5
0.3475904	35.5	96.5
0.3569493	36.5	96.5
0.3662725	37.5	96.5
0.3755592	38.5	96.5
0.3848082	39.5	96.5
0.3940188	40.5	96.5
0.4031899	41.5	96.5
0.4123208	42.5	96.5
0.4214104	43.5	96.5
0.4304579	44.5	96.5
0.4394623	45.5	96.5
0.4484228	46.5	96.5
0.4573385	47.5	96.5
0.4662084	48.5	96.5
0.4750316	49.5	96.5
0.4838074	50.5	96.5
0.4925348	51.5	96.5
0.501213	52.5	96.5
0.509841	53.5	96.5
0.5184181	54.5	96.5
0.5269433	55.5	96.5
0.5354158	56.5	96.5
0.5438348	57.5	96.5
0.5521994	58.5	96.5
0.5605087	59.5	96.5
0.5687621	60.5	96.5
0.5769585	61.5	96.5
0.5850973	62.5	96.5
0.5931775	63.5	96.5
0.6011984	64.5	96.5
0.6091592	65.5	96.5
0.6170591	66.5	96.5
0.6248973	67.5	96.5
0.632673	68.5	96.5
0.6403854	69.5	96.5
0.6480339	70.5	96.5
0.6556174	71.5	96.5
0.6631355	72.5	96.5
0.6705872	73.5	96.5
0.6779718	74.5	96.5
0.6852887	75.5	96.5
0.692537	76.5	96.5
0.6997161	77.5	96.5
0.7068252	78.5	96.5
0.7138636	79.5	96.5
0.7208306	80.5	96.5
0.7277256	81.5	96.5
0.7345478	82.5	96.5
0.7412965	83.5	96.5
0.7479711	84.5	96.5
0.7545709	85.5	96.5
0.7610953	86.5	96.5
0.7675435	87.5	96.5
0.773915	88.5	96.5
0.7802091	89.5	96.5
0.7864252	90.5	96.5
0.7925626	91.5	96.5
0.7986208	92.5	96.5
0.8045991	93.5	96.5
0.8104969	94.5	96.5
0.8163137	95.5	96.5
0.8220489	96.5	96.5
0.8277019	97.5	96.5
0.8332721	98.5	96.5
0.8387589	99.5	96.5
0.004999979	0.5	95.5
0.01499944	1.5	95.5
0.0249974	2.5	95.5
0.03499286	3.5	95.5
0.04498481	4.5	95.5
0.05497228	5.5	95.5
0.06495424	6.5	95.5
0.07492971	7.5	95.5
0.08489768	8.5	95.5
0.09485717	9.5	95.5
0.1048072	10.5	95.5
0.1147467	11.5	95.5
0.1246747	12.5	95.5
0.1345903	13.5	95.5
0.1444924	14.5	95.5
0.1543801	15.5	95.5
0.1642523	16.5	95.5
0.1741081	17.5	95.5
0.1839465	18.5	95.5
0.1937665	19.5	95.5
0.2035672	20.5	95.5
0.2133474	21.5	95.5
0.2231064	22.5	95.5
0.232843	23.5	95.5
0.2425563	24.5	95.5
0.2522454	25.5	95.5
0.2619093	26.5	95.5
0.2715469	27.5	95.5
0.2811575	28.5	95.5
0.2907399	29.5	95.5
0.3002932	30.5	95.5
0.3098165	31.5	95.5
0.3193088	32.5	95.5
0.3287692	33.5	95.5
0.3381967	34.5	95.5
0.3475904	35.5	95.5
0.3569493	36.5	95.5
0.3662725	37.5	95.5
0.3755592	38.5	95.5
0.3848082	39.5	95.5
0.3940188	40.5	95.5
0.4031899	41.5	95.5
0.4123208	42.5	95.5
0.4214104	43.5	95.5
0.4304579	44.5	95.5
0.4394623	45.5	95.5
0.4484228	46.5	95.5
0.4573385	47.5	95.5
0.4662084	48.5	95.5
0.4750316	49.5	95.5
0.4838074	50.5	95.5
0.4925348	51.5	95.5
0.501213	52.5	95.5
0.509841	53.5	95.5
0.5184181	54.5	95.5
0.5269433	55.5	95.5
0.5354158	56.5	95.5
0.5438348	57.5	95.5
0.5521994	58.5	95.5
0.5605087	59.5	95.5
0.5687621	60.5	95.5
0.5769585	61.5	95.5
0.5850973	62.5	95.5
0.5931775	63.5	95.5
0.6011984	64.5	95.5
0.6091592	65.5	95.5
0.6170591	66.5	95.5
0.6248973	67.5	95.5
0.632673	68.5	95.5
0.6403854	69.5	95.5
0.6480339	70.5	95.5
0.6556174	71.5	95.5
0.6631355	72.5	95.5
0.6705872	73.5	95.5
0.6779718	74.5	95.5
0.6852887	75.5	95.5
0.692537	76.5	95.5
0.6997161	77.5	95.5
0.7068252	78.5	95.5
0.7138636	79.5	95.5
0.7208306	80.5	95.5
0.7277256	81.5	95.5
0.7345478	82.5	95.5
0.7412965	83.5	95.5
0.7479711	84.5	95.5
0.7545709	85.5	95.5
0.7610953	86.5	95.5
0.7675435	87.5	95.5
0.773915	88.5	95.5
0.7802091	89.5	95.5
0.7864252	90.5	95.5
0.7925626	91.5	95.5
0.7986208	92.5	95.5
0.8045991	93.5	95.5
0.8104969	94.5	95.5
0.8163137	95.5	95.5
0.8220489	96.5	95.5
0.8277019	97.5	95.5
0.8332721	98.5	95.5
0.8387589	99.5	95.5
0.004999979	0.5	94.5
0.01499944	1.5	94.5
0.0249974	2.5	94.5
0.03499286	3.5	94.5
0.04498481	4.5	94.5
0.05497228	5.5	94.5
0.06495424	6.5	94.5
0.07492971	7.5	94.5
0.08489768	8.5	94.5
0.09485717	9.5	94.5
0.1048072	10.5	94.5
0.1147467	11.5	94.5
0.1246747	12.5	94.5
0.1345903	13.5	94.5
0.1444924	14.5	94.5
0.1543801	15.5	94.5
0.1642523	16.5	94.5
0.1741081	17.5	94.5
0.1839465	18.5	94.5
0.1937665	19.5	94.5
0.2035672	20.5	94.5
0.2133474	21.5	94.5
0.2231064	22.5	94.5
0.232843	23.5	94.5
0.2425563	24.5	94.5
0.2522454	25.5	94.5
0.2619093	26.5	94.5
0.2715469	27.5	94.5
0.2811575	28.5	94.5
0.2907399	29.5	94.5
0.3002932	30.5	94.5
0.3098165	31.5	94.5
0.3193088	32.5	94.5
0.3287692	33.5	94.5
0.3381967	34.5	94.5
0.3475904	35.5	94.5
0.3569493	36.5	94.5
0.3662725	37.5	94.5
0.3755592	38.5	94.5
0.3848082	39.5	94.5
0.3940188	40.5	94.5
0.4031899	41.5	94.5
0.4123208	42.5	94.5
0.4214104	43.5	94.5
0.4304579	44.5	94.5
0.4394623	45.5	94.5
0.4484228	46.5	94.5
0.4573385	47.5	94.5
0.4662084	48.5	94.5
0.4750316	49.5	94.5
0.4838074	50.5	94.5
0.4925348	51.5	94.5
0.501213	52.5	94.5
0.509841	53.5	94.5
0.5184181	54.5	94.5
0.5269433	55.5	94.5
0.5354158	56.5	94.5
0.5438348	57.5	94.5
0.5521994	58.5	94.5
0.5605087	59.5	94.5
0.5687621	60.5	94.5
0.5769585	61.5	94.5
0.5850973	62.5	94.5
0.5931775	63.5	94.5
0.6011984	64.5	94.5
0.6091592	65.5	94.5
0.6170591	66.5	94.5
0.6248973	67.5	94.5
0.632673	68.5	94.5
0.6403854	69.5	94.5
0.6480339	70.5	94.5
0.6556174	71.5	94.5
0.6631355	72.5	94.5
0.6705872	73.5	94.5
0.6779718	74.5	94.5
0.6852887	75.5	94.5
0.692537	76.5	94.5
0.6997161	77.5	94.5
0.7068252	78.5	94.5
0.7138636	79.5	94.5
0.7208306	80.5	94.5
0.7277256	81.5	94.5
0.7345478	82.5	94.5
0.7412965	83.5	94.5
0.7479711	84.5	94.5
0.7545709	85.5	94.5
0.7610953	86.5	94.5
0.7675435	87.5	94.5
0.773915	88.5	94.5
0.7802091	89.5	94.5
0.7864252	90.5	94.5
0.7925626	91.5	94.5
0.7986208	92.5	94.5
0.8045991	93.5	94.5
0.8104969	94.5	94.5
0.8163137	95.5	94.5
0.8220489	96.5	94.5
0.8277019	97.5	94.5
0.8332721	98.5	94.5
0.8387589	99.5	94.5
0.004999979	0.5	93.5
0.01499944	1.5	93.5
0.0249974	2.5	93.5
0.03499286	3.5	93.5
0.04498481	4.5	93.5
0.05497228	5.5	93.5
0.06495424	6.5	93.5
0.07492971	7.5	93.5
0.08489768	8.5	93.5
0.09485717	9.5	93.5
0.1048072	10.5	93.5
0.1147467	11.5	93.5
0.1246747	12.5	93.5
0.1345903	13.5	93.5
0.1444924	14.5	93.5
0.1543801	15.5	93.5
0.1642523	16.5	93.5
0.1741081	17.5	93.5
0.1839465	18.5	93.5
0.1937665	19.5	93.5
0.2035672	20.5	93.5
0.2133474	21.5	93.5
0.2231064	22.5	93.5
0.232843	23.5	93.5
0.2425563	24.5	93.5
0.2522454	25.5	93.5
0.2619093	26.5	93.5
0.2715469	27.5	93.5
0.2811575	28.5	93.5
0.2907399	29.5	93.5
0.3002932	30.5	93.5
0.3098165	31.5	93.5
0.3193088	32.5	93.5
0.3287692	33.5	93.5
0.3381967	34.5	93.5
0.3475904	35.5	93.5
0.3569493	36.5	93.5
0.3662725	37.5	93.5
0.3755592	38.5	93.5
0.3848082	39.5	93.5
0.3940188	40.5	93.5
0.4031899	41.5	93.5
0.4123208	42.5	93.5
0.4214104	43.5	93.5
0.4304579	44.5	93.5
0.4394623	45.5	93.5
0.4484228	46.5	93.5
0.4573385	47.5	93.5
0.4662084	48.5	93.5
0.4750316	49.5	93.5
0.4838074	50.5	93.5
0.4925348	51.5	93.5
0.501213	52.5	93.5
0.509841	53.5	93.5
0.5184181	54.5	93.5
0.5269433	55.5	93.5
0.5354158	56.5	93.5
0.5438348	57.5	93.5
0.5521994	58.5	93.5
0.5605087	59.5	93.5
0.5687621	60.5	93.5
0.5769585	61.5	93.5
0.5850973	62.5	93.5
0.5931775	63.5	93.5
0.6011984	64.5	93.5
0.6091592	65.5	93.5
0.6170591	66.5	93.5
0.6248973	67.5	93.5
0.632673	68.5	93.5
0.6403854	69.5	93.5
0.6480339	70.5	93.5
0.6556174	71.5	93.5
0.6631355	72.5	93.5
0.6705872	73.5	93.5
0.6779718	74.5	93.5
0.6852887	75.5	93.5
0.692537	76.5	93.5
0.6997161	77.5	93.5
0.7068252	78.5	93.5
0.7138636	79.5	93.5
0.7208306	80.5	93.5
0.7277256	81.5	93.5
0.7345478	82.5	93.5
0.7412965	83.5	93.5
0.7479711	84.5	93.5
0.7545709	85.5	93.5
0.7610953	86.5	93.5
0.7675435	87.5	93.5
0.773915	88.5	93.5
0.7802091	89.5	93.5
0.7864252	90.5	93.5
0.7925626	91.5	93.5
0.7986208	92.5	93.5
0.8045991	93.5	93.5
0.8104969	94.5	93.5
0.8163137	95.5	93.5
0.8220489	96.5	93.5
0.8277019	97.5	93.5
0.8332721	98.5	93.5
0.8387589	99.5	93.5
0.004999979	0.5	92.5
0.01499944	1.5	92.5
0.0249974	2.5	92.5
0.03499286	3.5	92.5
0.04498481	4.5	92.5
0.05497228	5.5	92.5
0.06495424	6.5	92.5
0.07492971	7.5	92.5
0.08489768	8.5	92.5
0.09485717	9.5	92.5
0.1048072	10.5	92.5
0.1147467	11.5	92.5
0.1246747	12.5	92.5
0.1345903	13.5	92.5
0.1444924	14.5	92.5
0.1543801	15.5	92.5
0.1642523	16.5	92.5
0.1741081	17.5	92.5
0.1839465	18.5	92.5
0.1937665	19.5	92.5
0.2035672	20.5	92.5
0.2133474	21.5	92.5
0.2231064	22.5	92.5
0.232843	23.5	92.5
0.2425563	24.5	92.5
0.2522454	25.5	92.5
0.2619093	26.5	92.5
0.2715469	27.5	92.5
0.2811575	28.5	92.5
0.2907399	29.5	92.5
0.3002932	30.5	92.5
0.3098165	31.5	92.5
0.3193088	32.5	92.5
0.3287692	33.5	92.5
0.3381967	34.5	92.5
0.3475904	35.5	92.5
0.3569493	36.5	92.5
0.3662725	37.5	92.5
0.3755592	38.5	92.5
0.3848082	39.5	92.5
0.3940188	40.5	92.5
0.4031899	41.5	92.5
0.4123208	42.5	92.5
0.4214104	43.5	92.5
0.4304579	44.5	92.5
0.4394623	45.5	92.5
0.4484228	46.5	92.5
0.4573385	47.5	92.5
0.4662084	48.5	92.5
0.4750316	49.5	92.5
0.4838074	50.5	92.5
0.4925348	51.5	92.5
0.501213	52.5	92.5
0.509841	53.5	92.5
0.5184181	54.5	92.5
0.5269433	55.5	92.5
0.5354158	56.5	92.5
0.5438348	57.5	92.5
0.5521994	58.5	92.5
0.5605087	59.5	92.5
0.5687621	60.5	92.5
0.5769585	61.5	92.5
0.5850973	62.5	92.5
0.5931775	63.5	92.5
0.6011984	64.5	92.5
0.6091592	65.5	92.5
0.6170591	66.5	92.5
0.6248973	67.5	92.5
0.632673	68.5	92.5
0.6403854	69.5	92.5
0.6480339	70.5	92.5
0.6556174	71.5	92.5
0.6631355	72.5	92.5
0.6705872	73.5	92.5
0.6779718	74.5	92.5
0.6852887	75.5	92.5
0.692537	76.5	92.5
0.6997161	77.5	92.5
0.7068252	78.5	92.5
0.7138636	79.5	92.5
0.7208306	80.5	92.5
0.7277256	81.5	92.5
0.7345478	82.5	92.5
0.7412965	83.5	92.5
0.7479711	84.5	92.5
0.7545709	85.5	92.5
0.7610953	86.5	92.5
0.7675435	87.5	92.5
0.773915	88.5	92.5
0.7802091	89.5	92.5
0.7864252	90.5	92.5
0.7925626	91.5	92.5
0.7986208	92.5	92.5
0.8045991	93.5	92.5
0.8104969	94.5	92.5
0.8163137	95.5	92.5
0.8220489	96.5	92.5
0.8277019	97.5	92.5
0.8332721	98.5	92.5
0.8387589	99.5	92.5
0.004999979	0.5	91.5
0.01499944	1.5	91.5
0.0249974	2.5	91.5
0.03499286	3.5	91.5
0.04498481	4.5	91.5
0.05497228	5.5	91.5
0.06495424	6.5	91.5
0.07492971	7.5	91.5
0.08489768	8.5	91.5
0.09485717	9.5	91.5
0.1048072	10.5	91.5
0.1147467	11.5	91.5
0.1246747	12.5	91.5
0.1345903	13.5	91.5
0.1444924	14.5	91.5
0.1543801	15.5	91.5
0.1642523	16.5	91.5
0.1741081	17.5	91.5
0.1839465	18.5	91.5
0.1937665	19.5	91.5
0.2035672	20.5	91.5
0.2133474	21.5	91.5
0.2231064	22.5	91.5
0.232843	23.5	91.5
0.2425563	24.5	91.5
0.2522454	25.5	91.5
0.2619093	26.5	91.5
0.2715469	27.5	91.5
0.2811575	28.5	91.5
0.2907399	29.5	91.5
0.3002932	30.5	91.5
0.3098165	31.5	91.5
0.3193088	32.5	91.5
0.3287692	33.5	91.5
0.3381967	34.5	91.5
0.3475904	35.5	91.5
0.3569493	36.5	91.5
0.3662725	37.5	91.5
0.3755592	38.5	91.5
0.3848082	39.5	91.5
0.3940188	40.5	91.5
0.4031899	41.5	91.5
0.4123208	42.5	91.5
0.4214104	43.5	91.5
0.4304579	44.5	91.5
0.4394623	45.5	91.5
0.4484228	46.5	91.5
0.4573385	47.5	91.5
0.4662084	48.5	91.5
0.4750316	49.5	91.5
0.4838074	50.5	91.5
0.4925348	51.5	91.5
0.501213	52.5	91.5
0.509841	53.5	91.5
0.5184181	54.5	91.5
0.5269433	55.5	91.5
0.5354158	56.5	91.5
0.5438348	57.5	91.5
0.5521994	58.5	91.5
0.5605087	59.5	91.5
0.5687621	60.5	91.5
0.5769585	61.5	91.5
0.5850973	62.5	91.5
0.5931775	63.5	91.5
0.6011984	64.5	91.5
0.6091592	65.5	91.5
0.6170591	66.5	91.5
0.6248973	67.5	91.5
0.632673	68.5	91.5
0.6403854	69.5	91.5
0.6480339	70.5	91.5
0.6556174	71.5	91.5
0.6631355	72.5	91.5
0.6705872	73.5	91.5
0.6779718	74.5	91.5
0.6852887	75.5	91.5
0.692537	76.5	91.5
0.6997161	77.5	91.5
0.7068252	78.5	91.5
0.7138636	79.5	91.5
0.7208306	80.5	91.5
0.7277256	81.5	91.5
0.7345478	82.5	91.5
0.7412965	83.5	91.5
0.7479711	84.5	91.5
0.7545709	85.5	91.5
0.7610953	86.5	91.5
0.7675435	87.5	91.5
0.773915	88.5	91.5
0.7802091	89.5	91.5
0.7864252	90.5	91.5
0.7925626	91.5	91.5
0.7986208	92.5	91.5
0.8045991	93.5	91.5
0.8104969	94.5	91.5
0.8163137	95.5	91.5
0.8220489	96.5	91.5
0.8277019	97.5	91.5
0.8332721	98.5	91.5
0.8387589	99.5	91.5
0.004999979	0.5	90.5
0.01499944	1.5	90.5
0.0249974	2.5	90.5
0.03499286	3.5	90.5
0.04498481	4.5	90.5
0.05497228	5.5	90.5
0.06495424	6.5	90.5
0.07492971	7.5	90.5
0.08489768	8.5	90.5
0.09485717	9.5	90.5
0.1048072	10.5	90.5
0.1147467	11.5	90.5
0.1246747	12.5	90.5
0.1345903	13.5	90.5
0.1444924	14.5	90.5
0.1543801	15.5	90.5
0.1642523	16.5	90.5
0.1741081	17.5	90.5
0.1839465	18.5	90.5
0.1937665	19.5	90.5
0.2035672	20.5	90.5
0.2133474	21.5	90.5
0.2231064	22.5	90.5
0.232843	23.5	90.5
0.2425563	24.5	90.5
0.2522454	25.5	90.5
0.2619093	26.5	90.5
0.2715469	27.5	90.5
0.2811575	28.5	90.5
0.2907399	29.5	90.5
0.3002932	30.5	90.5
0.3098165	31.5	90.5
0.3193088	32.5	90.5
0.3287692	33.5	90.5
0.3381967	34.5	90.5
0.3475904	35.5	90.5
0.3569493	36.5	90.5
0.3662725	37.5	90.5
0.3755592	38.5	90.5
0.3848082	39.5	90.5
0.3940188	40.5	90.5
0.4031899	41.5	90.5
0.4123208	42.5	90.5
0.4214104	43.5	90.5
0.4304579	44.5	90.5
0.4394623	45.5	90.5
0.4484228	46.5	90.5
0.4573385	47.5	90.5
0.4662084	48.5	90.5
0.4750316	49.5	90.5
0.4838074	50.5	90.5
0.4925348	51.5	90.5
0.501213	52.5	90.5
0.509841	53.5	90.5
0.5184181	54.5	90.5
0.5269433	55.5	90.5
0.5354158	56.5	90.5
0.5438348	57.5	90.5
0.5521994	58.5	90.5
0.5605087	59.5	90.5
0.5687621	60.5	90.5
0.5769585	61.5	90.5
0.5850973	62.5	90.5
0.5931775	63.5	90.5
0.6011984	64.5	90.5
0.6091592	65.5	90.5
0.6170591	66.5	90.5
0.6248973	67.5	90.5
0.632673	68.5	90.5
0.6403854	69.5	90.5
0.6480339	70.5	90.5
0.6556174	71.5	90.5
0.6631355	72.5	90.5
0.6705872	73.5	90.5
0.6779718	74.5	90.5
0.6852887	75.5	90.5
0.692537	76.5	90.5
0.6997161	77.5	90.5
0.7068252	78.5	90.5
0.7138636	79.5	90.5
0.7208306	80.5	90.5
0.7277256	81.5	90.5
0.7345478	82.5	90.5
0.7412965	83.5	90.5
0.7479711	84.5	90.5
0.7545709	85.5	90.5
0.7610953	86.5	90.5
0.7675435	87.5	90.5
0.773915	88.5	90.5
0.7802091	89.5	90.5
0.7864252	90.5	90.5
0.7925626	91.5	90.5
0.7986208	92.5	90.5
0.8045991	93.5	90.5
0.8104969	94.5	90.5
0.8163137	95.5	90.5
0.8220489	96.5	90.5
0.8277019	97.5	90.5
0.8332721	98.5	90.5
0.8387589	99.5	90.5
0.004999979	0.5	89.5
